no, 9,, Similar Sounding Word Predicted
family share, फॅमिली शेड,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
aapki awaaz bahut Sundar hai, आपकी आवाज बहुत सुंदर है,, No mistake
gand De De, गान के,, Random Prediction
new plans batao, र नू प्लान्स बताओ,, Doesnt pick up English
idea plan change, प्लान चेंज,, Wrong Ground Truth
han ji, हंजी,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
call Sneha ja rahe hain, कॉल्स नहीं जा रहे हैं,, Similar Sounding Word Predicted
Naat, ना,, Fast Spoken Sentence
assotech  option, ऑफ ए बाक ऑप्शन,, Fast Spoken Sentence
Airtel payment, सर एयरटेल पेमेंट ल,, Random Prediction
yes, येस,, No mistake
bye bye Airtel money, वाई आइ टेल मनी,, No mistake
data balance, डाटा बैलेंस,, No mistake
Mera data balance bata do, मेरा डाटा बैलेंस बता दो,, No mistake
my data has ended I want to recharge for 1GB, माइ डाटा हाज़ एंड आइ वांट दो ईच फॉर 1 जीबी,, Incorrect Prediction of repetition of words
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,, Incorrect Single Word Prediction
I need my SIM detail, आइ नीड माइ सिमटी पर,, Incorrect Prediction of repetition of words
Meri due date kab hai, मेरी डी डेट कब है,, Incorrect Prediction of repetition of words
Meri due date kab hai, मेरी डी डेट कब है,, Incorrect Single Word Prediction
data balance Kitna, डाटा बैलेंस कितना है,, Wrong Ground Truth
naye plan, नए प्लान,, No mistake
yeah, या,, No mistake
naam kya hai aapka, नाम क्या है आपका,, No mistake
data Bal, डाटा बैलेंस,, Wrong Ground Truth
Star Plus, स्टार्स,, Doesnt pick up English
naye plants, नए प्लान्स,, Similar Sounding Word Predicted
naya plan kya hai, नया प्लान क्या है,, No mistake
Mujhe DND activate Karnataka, मुझे डी डी एक्टिवेट करना था,, Extra Words Predicted
new plan, नो प्लान,, Doesnt pick up English
Mujhe DND activate Karnataka, मुझे डी डी एक्टिवेट करना था,, Wrong Ground Truth
data balance, डाटा बैलेंस,, No mistake
Freecharge, बस बुडिंग विडिंग थे रीचार्ज,, Random Prediction
Dil Ka Bhanwar Kare Pukar Pyar Ka Raag Suno Pyar Ka Raag Suno Re, डिक अबोव इट गुड बुक बेड दो नो बेटी स,, Random Prediction
data balance, डाटा ऑफ बेस,, Random Prediction
Mera data balance kitna hai, मेरा डाटा बैलेंस कितना है,, No mistake
gane, जाने,, Random Prediction
mera net bahut slow chal raha hai, मेरा नेट बोहत स्लो चल रहा है,, No mistake
Star Plus, स्टार्स,, Random Prediction
hello tune can be activated directly on the wynk app, हेलो टन कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Incorrect Prediction of repetition of words
Hamen recharge karna hai, में रिचार्ज करना है,, Incorrect Single Word Prediction
only call, ओनली कोन,, Last word verb missing
transaction history bataiye, ट्रांसक्शन हिस्ट्री बताइए,, No mistake
only call, ओनली कोन,, Doesnt pick up English
DN, डी एन डीके,,  Both model prediction and ground truth wrong
Amazon Prime video, मेज़ॉन प्राइम वीडियो,, Incorrect Single Word Prediction
namaskar recharge bataiye, नकार रिचार्ज बताय,, Doesnt pick up English
account balance,,, No mistake
god bless him I hope I will go on seeing them forever, गॉड ब्लेस हिम आइ होप इल गोन सीइंग थेम फॉरेवर,, Incorrect Prediction of repetition of words
Nick, नेक,, Random Prediction
free data packs ke number kaun kaun se hai, फू डाटा बैक्स के नंबर को गोसी है,, Extra Words Predicted
Nick, नेक,, Doesnt pick up English
Mujhe alag alag data packs batao, मुझे अलग लिए डेटा पैक्स बताओ,, Incorrect Prediction of repetition of words
DND request, डेन रीक्वेस्ट,, Doesnt pick up English
hello, हेलो,, No mistake
abhi kar do, अभी कर दो,, Similar Sounding Word Predicted
abhi kar do, अभी कर दो,, No mistake
voice Karke I just want to change the plan, आइ जस्ट वॉन दो चेंज द प्लान,, No mistake
account balance, अकाउंट लेस,, Doesnt pick up English
flash message, प्लेस मे,, Random Prediction
account balance kitna hai, अकाउंट बैलेंस कितना है,, No mistake
star Bharat, स्टार बार,, Doesnt pick up English
data balance,,, No mistake
data balance, डाटा बेन स,, Incorrect Single Word Prediction
voice Karke I just want to change the plan, आइ जस्ट वॉन दो चेंज द प्लान,, Random Prediction
Mujhe alag alag tax dikhao, मुझे अलग अलग पैक्स दिखाओ,, Doesnt pick up English
Jo Mera Mantri recharge hai, जो मेरा मंत्री विचार्ज है,, Random Prediction
star Bharat, स्टार भारत,, No mistake
recharge kaise karen, रिचार्ज कर सक्रि,, Doesnt pick up English
Mujhe cashback Kyon nahin mila, मुझे कैशबैक क्यों नहीं ला,, No mistake
Mujhe cashback Kyon nahin mila, मुझे कैशबैक क्यों नहीं ला,, Incorrect Single Word Prediction
DND request, डेन रीक्वेस्ट,, Incorrect Single Word Prediction
account balance,,, No mistake
279, दो हंडरेड 709,, Random Prediction
balance check, बैलेंस चेक,, No mistake
Sunny Leone, सनीलीवन को,, Incorrect Single Word Prediction
hello, हैलो,, No mistake
star Bharat, स्टार बार,, Incorrect Single Word Prediction
Mera account balance, थाट ए बैलेंस,, Random Prediction
DND request, ही एड बी रीक्वेस्ट,, Doesnt pick up English
recharge, रिचार्ज,, No mistake
Malya ki kimat ke bare mein purv kataniya Ghosh, मूल्य की कीमत के बारे में पूर्व कथन या घोषणा,, No mistake
recharge kaise karen, रिचार्ज कर सक्रि,, Random Prediction
recharge kaise karen, रिचार्ज कर सक्रि,, Incorrect Prediction of repetition of words
pata nahin server down hai kya, बट नीड वेर डाक,, Doesnt pick up English
call, कॉल्स,, No mistake
data balance, डाटा बैलेंस,, No mistake
main bhi Hun Tu Bhi Hai aamne Samne, मैं भी हो गो बी हर का समन्,, Random Prediction
data booster kaise karen, डाटा कस्ट के सिगरे,, No mistake
kya kar rahe ho, कि आप कर से ही हो,, Random Prediction
data booster kaise karen, डाटा कस्ट के सिगरे,, Doesnt pick up English
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, No mistake
naye plan, नए प्लान,, No mistake
number dusra Kaise change Karen, नंबर दूसरा कैसे चेंज करें,, No mistake
highest ISC pooch Taj, स्टडी पूछता,,  Both model prediction and ground truth wrong
theek hai, सटीक पा,,  Both model prediction and ground truth wrong
Dangal TV, बंद करें टीवी,, Doesnt pick up English
India Newzealand cricket match live, इंडिया नूडलें टिकट माच लाइफ़,, Doesnt pick up English
Dangal TV, बंद करें टीवी,, Incorrect Single Word Prediction
Hindi mein bataiye, हिंदी में बता,, Last word verb missing
BN request, बी एन बी रेग्रेस,,  Both model prediction and ground truth wrong
love song, नक्श,, Random Prediction
Teri Man ki, थेर इस माइ थिस,, Random Prediction
detail send Karen, डिटेल सेंड करें,, No mistake
yes, येस,, No mistake
Mera payment history batao, मेरा पेमेंट हिस्ट्री बताओ,, No mistake
add money, एड मनी,, No mistake
hello tune Kaise Rakhi Jaati Hai, हेलो ट्यून कैसे रखी जाती है,, No mistake
Budhiya Mai Sab per Bhari serial, गुडिया माइ सपुर भारी सीरियल,,  Both model prediction and ground truth wrong
Mujhe Mera account ke liye DND activate karna tha, मुझे मेरे अकाउंट के लिए डीएनडी एक्टिवेट करना था,, No mistake
Lekar Ja Tu Jaldi kutiya, लिप ऑफ द बट द क्य,, Random Prediction
Mera Din Ka net pack kitna hai, मेरा दिन कनेक्शन कितना है,, Incorrect Single Word Prediction
freenet Railway, सीनेट गुड इवन,, Random Prediction
Star Plus, स्टार्स,, Random Prediction
internet, इंटरनेट,, No mistake
Amazon Prime, अमेज़न प्राइम,, No mistake
mera bill plan kya hai, मेरा बिल प्लान क्या है,, No mistake
recharge, रिचार्ज,, No mistake
DND, टीएनडी,, Incorrect Single Word Prediction
Mujhe recharge Karna Hai Kaun Sa kara hai, मुझे रिचार्ज करना है कौनसा करा है,, No mistake
naye plan kya hai, नए प्लान के,, Random Prediction
account balance, अकाउंट बैलेंस,, No mistake
recharge new plan, रिचार्ज न प्लान,, Similar Sounding Word Predicted
stop Mera recharge bataen, मेरा रिचार्ज करता है,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
hello Google, काम न,, Random Prediction
Mujhe recharge karna hai, मुझे रिचार्ज करना है,, No mistake
data balance bataen, डाटा बैलेंस बताएं,, No mistake
data balance, डाटा बैलेंस,, No mistake
free data, 3 डाटा,, Incorrect Single Word Prediction
Ham call nahin kar pa rahe hain, हम कॉल नहीं कर पा रहे हैं,, No mistake
data balance bataiye, डाटा बैलेंस बताइए,, No mistake
bill details, पेनटीटीन्स,, Random Prediction
hello, हेलो,, No mistake
Bhaad Mein jao, भाड़ में जाओ,, No mistake
free data, 3 डाटा,, Incorrect Single Word Prediction
bahut plans, बोस प्लान्स,, Wrong Ground Truth
Airtel ka recharge kitne mein ho raha hai abhi mahine Vaste, एयरटेल रिचार्ज कितने मा हो रहा है वे महीने वास थे,, Incorrect Prediction of repetition of words
yes, येस,, No mistake
aapka naam kya hai, अब का नाम क्या है,, Incorrect Single Word Prediction
free data, 3 डाटा,, Doesnt pick up English
new plans, न प्लान्स,, Incorrect Single Word Prediction
fast tag, फर्स्ट,, Doesnt pick up English
Kumkum Bhagya, कुमकुम भाग किय,, Similar Sounding Word Predicted
Airtel customer care se baat karne ka kya number hai, एयरटेल कस्टमर केयर से बात करने का या नंबर है,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
account balance, अकाउंट बैलेंस,, No mistake
DND request, डिड रीक्वेस्ट,, Random Prediction
Bhaad Mein jao, भाड़ में जाओ,, No mistake
network issue, नेटवर्क इशू,, No mistake
data balance, नोट ऑफ बैलेंस,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
Airtel 35 grc, एयरटेल 305 ईयर 3,,  Both model prediction and ground truth wrong
DTH ke balance bataen, डी टी एच के बैलेंस पडता है,, Incorrect Single Word Prediction
Ham call nahin kar pa rahe hain, हम कॉल नहीं कर पा रहे हैं,, No mistake
Mujhe network mein problem a Rahi, मुझे नेटवर्क में प्रॉब्लम आ रही है,, No mistake
what is my account balance, वाट इस माइ अकाउंट बैलेंस,, No mistake
ringtone, रिंग टोन,, No mistake
details, डिटे,, Random Prediction
hello, हेलो,, No mistake
han hello ji ke Ho Har you, हम लो जी हो हर यु,, Doesnt pick up English
DD scores, डिड इस कोर्स,, Incorrect Single Word Prediction
what is my account balance, वाट इस माइ अकाउंट बैलेंस,, No mistake
data balance, डाटा बैलेंस,, No mistake
DND, डीएनडी,, No mistake
kaisa hai, कैसा है,, No mistake
I can text you, आइ कान थाट क,,  Both model prediction and ground truth wrong
how do you help me, हाउ डु यु हाव मी,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
account balance, अकाउंट बिल स,, Incorrect Single Word Prediction
ok, ओके,, No mistake
Mera balance kitna hai, मेरा बैलेंस कितना है,, No mistake
internet, इंटरनेट,, No mistake
hello tune, हेलो ट्,, Doesnt pick up English
recharge recharge, रिचार्ज रिचार्ज,, No mistake
Punjabi movies, पजाबी मूवी,, Doesnt pick up English
data plan, थाट ऑफ प्लान,, Incorrect Single Word Prediction
Airtel 35 grc, एयरटेल 305 ईयर 3,,  Both model prediction and ground truth wrong
agale page per, एंड लि ए प,, Random Prediction
Star Gold 2, स्टार गोल्ड हर ग,, Incorrect Single Word Prediction
Mujhe Mera account balance janna, मुझे में अकाउंट बैलेंस जाना था,, Wrong Ground Truth
Punjabi movies, पजाबी मूवी,, Similar Sounding Word Predicted
account, अकाउंट बैलेंस,, Similar Sounding Word Predicted
hello tune, हेलो ट्,, Last word verb missing
account, अकाउंट बैलेंस,, No mistake
hello tune, हेलो ट्,, Doesnt pick up English
data balance, डाटा बैलेंस,, No mistake
Mujhe Mera account balance janna, मुझे में अकाउंट बैलेंस जाना था,, Wrong Ground Truth
speed your network connectivity, स्पीड गिव नेटवर्क नेक्टिविटी,, Random Prediction
10 rupaye ka, 10 रुपये का,, No mistake
kya Aapko Hindi Aati Hai, क्या आपको हिंदी आती है,, No mistake
my wallet, माइ वॉलेट,, No mistake
recharge, रिचार्ज की,, Similar Sounding Word Predicted
my offer, माइ ऑफेर,, No mistake
Wi-Fi speed is slow, वास की,,  Both model prediction and ground truth wrong
my offer, आ माइ ऑफेर,, No mistake
internet speed, इंटरनेट पीड,, Incorrect Single Word Prediction
Punjabi movies, पजाबी मूवी,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
mere phone ka balance kitna hai, मेरे फोन का बैलेस कितना है,, No mistake
open Airtel payment, ओपन एयरटेल पेमेंट फाइ,, Incorrect Single Word Prediction
recharge karna hai, रिचार्ज करना है,, No mistake
my net is not working what should I do, माइ नेट इस नोट वर्किंग वाट शुड आइ डु,, No mistake
naya plan, नया प्लान,, No mistake
kya Aapko Hindi Aati Hai, क्या आपको हिंदी आती है,, No mistake
email kaise prapt karen, ई बिल कैसे प्राप्त करें,, No mistake
Airtel family, एयरटेल फैमिली,, No mistake
phone se recharge Kyon Nahin ho raha aur cashback Kyon Nahin dikha raha hai agar main dusron ka number dalunga to, 1 से ही टच दो नील और और कैशबैक क्यों नहीं दिखा रहा है अगर मैं दूसरों का नंबर डालूंगा ता,, Incorrect Prediction of repetition of words
naya plan, नए प्लान,, No mistake
thanks for you, टंग्स तोवार्ड यु,, Random Prediction
new plans, नू प्लान्स,, Doesnt pick up English
Ham Apna gift card kaise prapt karen, हम अपना गिफ्ट कार्ड कैसे प्राप्त करें,, No mistake
Mujhe international roaming activate karvana tha, मुझे इंटरनेशनल रोमिंग एक्टिवेट करवाना था,, No mistake
Bar Bar sorry Kyon bol rahe hai Hindi bolo, बार बार शोरी क्यों हो रहा है हिंदी बोलो,, Incorrect Single Word Prediction
damn I call today, थेन आइ कौल टुडे,, Incorrect Single Word Prediction
hello, हैलो,, No mistake
Hindi, हिंदी,, No mistake
DND deactivate, डी एन डी डीएक्टिवेट,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
please mera recharge karo mere ko emergency hai, प्लीस मेरा चार्ज करो फिर को इमरजेंसी है,, Incorrect Single Word Prediction
Mujhe DND activate karna tha, मुझे डीन डी एक्टिवेट करना था,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
Airtel Wi-Fi ko kaise use karna hai, एयरटेल मैप को कैसे यूज करना है,, Incorrect Single Word Prediction
Bharat ki rajdhani kaun si hai, भारत की राजधानी कौन सी है,, No mistake
data balance, डाटा बैलेंस,, No mistake
naye plans, ने प्लान्स,, Incorrect Single Word Prediction
hello tune can be activated directly on the wynk app, हेलो टून कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Incorrect Prediction of repetition of words
IMA gold, आइ आम गुड,, Similar Sounding Word Predicted
249, 249,, No mistake
account balance, काउंट बैलें,, Similar Sounding Word Predicted
data plans bataiye, डेटा प्लान्स बताइये,, No mistake
DND request, डीएनडी रीक्वेस्ट,, No mistake
Teri Chikni, के से अच्छी,, Random Prediction
blinds, बैलेंस,, Wrong Ground Truth
recharge kariye, रिचार्ज कर ए,, Similar Sounding Word Predicted
Bigg Boss,,, No mistake
browse plans, ब्राड प्लान्स,, Incorrect Single Word Prediction
Mera internet uses batao, मेरा इंटरनेट यूसेज बताओ,, No mistake
naya naya plan bataiye, नया नया प्लान बताइये,, No mistake
data balance, डाटा लेस,, Incorrect Single Word Prediction
call waiting Nahin chal raha hai, कॉल वी नहीं चल रहा है,, Random Prediction
MNP, में पी,, Incorrect Single Word Prediction
Kong meaning movie, को मेरी,,  Both model prediction and ground truth wrong
Kong meaning movie, को मेरी,, Doesnt pick up English
10 10  dialler tone, वस्त डालर डोन,, Incorrect Prediction of repetition of words
account balance, अकाउंट माइ लैंड,,  Both model prediction and ground truth wrong
Kong meaning movie, को मेरी,,  Both model prediction and ground truth wrong
prepaid to postpaid convert karna hai, प्रीपेड से पोस्टपेड कवर्ड करना है,, Similar Sounding Word Predicted
prepaid to postpaid convert karna hai, प्रीपेड से पोस्टपेड कवर्ड करना है,, Incorrect Prediction of repetition of words
balance kitna hai, बैलेंस कितने है,, Similar Sounding Word Predicted
hello tune, हेलो टून,, No mistake
prepaid to postpaid convert karna hai, प्रीपेड से पोस्टपेड कवर्ड करना है,, Incorrect Single Word Prediction
bill details, बिल डिटेल,, No mistake
Mera internet usage batao, मेरा इंटर में यूसेज बताओ,, Incorrect Single Word Prediction
hello tune hello, हेलो ट्यून हल,, Incorrect Single Word Prediction
account balance, अकाउंट माइ लैंड,, Random Prediction
Mere prashn ka Uttar do anyatha apni app ko band karo, मेरे कसी का दो अन्यथा अपनी है को बंद करो,, Incorrect Prediction of repetition of words
account balance, अकाउंट बैलेंस,, No mistake
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, Incorrect Prediction of repetition of words
data limit, डाटा लिमिट,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
make my own plan, मेइक माइ आन प्लान,, Incorrect Single Word Prediction
sim ka owner kaun hai, सिम का ओर गोन है,, Similar Sounding Word Predicted
Mujhe 399 rupaye ka recharge karna tha, स 399 रुपये का रिचार्ज करना था,, No mistake
Barcelona match, बाद से लोना मै,, Random Prediction
hello namaskar Airtel Mein Apne isme hello tune Kaise Rakha Jata Hai Uske bare mein Jankari Denge Airtel, आइ वुड नो एस्कॉट न मन मे हेलो द का डिस्क बट दो जंग डिंग डेड,,  Both model prediction and ground truth wrong
teri maa ki chut bhosdi ke, तेरी मार्ट बॉडी के ने गा,, Random Prediction
sex ke, सेक्स,, Last word verb missing
Airtel thanks app, एयरटेल थंक्य्स ए,, Random Prediction
naye plan, नए प्लान्स,, No mistake
Mujhe recharge ke alag alag plant dikhao, वास इट ईच आस के अलग प्लान दो क,, Incorrect Single Word Prediction
sex ke, सेक्स,, Similar Sounding Word Predicted
sex ke, सेक्स,, Last word verb missing
yesterday, वसंट वास रास्त होता है क्या,, Wrong Ground Truth
naye plans, नए प्लान्स,, No mistake
my calling, माई कोलिंग,, No mistake
mujhe mere adress Bank Mein 51 rupees Nahin mile, मुझे मिडिया दो द बैंक मे ऑफ स्टीवर पीस यह मिनि,, Doesnt pick up English
video dikhao Punjabi, वीडियो देखा जा बी,,  Both model prediction and ground truth wrong
Zee Anmol channel, जनम चैनल,, Incorrect Single Word Prediction
Meri transaction history clear karo, मेरी ट्रांसक्शन हिस ट्री क्लियर करो,, No mistake
recharge kaise karen, रिचार्ज कैसे करें,, No mistake
Siya Se, इस यु,, Random Prediction
last recharge detail for this, लास्ट एडिटिट टी पटि,, Random Prediction
account balance batao, अकाउंट बैलेंस बता,, Similar Sounding Word Predicted
naye plan, नए प्लान,, No mistake
279, 2079,, Random Prediction
Mujhe network call mein problem a rahi hai, मुझे नेटवर्क कॉल में प्रॉब्लम आ रही है,, No mistake
net plans, नए प्लान्स चले ग,, Wrong Ground Truth
recharges, रिचार्ज करा,, Random Prediction
han ji, अजी,, Doesnt pick up English
net pack kab khatam hoga, नेटवक कब खत्म होगा,, Incorrect Single Word Prediction
hello, स्लो,, Random Prediction
English mein Badle, इंग्लिश में बदलें,, No mistake
recharge, जी चार्ज,, Random Prediction
net plans, ने ब्लान,,  Both model prediction and ground truth wrong
Shantanu Sar pata nahin kahan gaye the, संत सर पता नही कहा गया था,, Incorrect Single Word Prediction
noda, नो आइ डिड,,  Both model prediction and ground truth wrong
data pack ke baare mein bataiye, डाटा पक द्वारा होता ह,, Random Prediction
naye recharge, नए रिचार्ज,, No mistake
ok thank you, ओके थैंक यु,, No mistake
299, 299,, No mistake
han prepaid recharge, हा पीपल रिचार्ज,, No mistake
yes, येस,, No mistake
Army daily data kitna milega, हमें डेली डाटा न मिलेगा,, Similar Sounding Word Predicted
unable to make calls, अनेइबल दो मेइक कॉल्स,, Incorrect Prediction of repetition of words
219, द न्य,, Random Prediction
ok, आपके,, Random Prediction
han prepaid recharge, हा पीपल रिचार्ज,, Incorrect Single Word Prediction
Mera MB kitna bacha hai, मनाम भी कितना बचा है,, Random Prediction
Shri Krishna, शी कृष्ना,, Similar Sounding Word Predicted
kam se kam ka recharge net wala, कम से कम का रिचार्ज ने वाला,, Similar Sounding Word Predicted
how long your network team will be take  to result out all the network issues, हाउ लॉन्ग युवर नेटवर्क स्टिल टीम विल बी दो रेस आउट कौलड द नेटवर्क इशू,,  Both model prediction and ground truth wrong
nai plant, ने प्लान्स,,  Both model prediction and ground truth wrong
Shantanu Sar pata nahin kahan gaye the, संत सर पता नही कहा गया था,,  Both model prediction and ground truth wrong
free net, क्रीडेट,, Random Prediction
thank you later, थैंक यू ए,, Doesnt pick up English
nai plant, नए प्लान,, Wrong Ground Truth
data balance, डाटा ऑफ बैलेंस,, Extra Words Predicted
kaun sa data packs available hai, कौन से अलग अलग डेटा पैक्स अवेलेबल है,, Wrong Ground Truth
family pack, फॅमिली पैक,, No mistake
Mujhe network calls Mein dikkat a rahi hai, मुझे नेटवर्क कॉल्स में दिक्कत आ रही है,, No mistake
bill details, हर अधिक विदे,, Random Prediction
post aur, पोस्ट,, Incorrect Single Word Prediction
back workout, फैक्स बेकास भी नह,,  Both model prediction and ground truth wrong
networking call mein dikkat hai, नेटवर्किंग गोर में दिक्कत,, Incorrect Prediction of repetition of words
post aur, पोस्ट,, Doesnt pick up English
flying change karna hai, प्लान चेंज करना है,, Wrong Ground Truth
Mera account balance details bataiye na, मेरे अकाउंट बैलेंस डिटेल बताए ना,, No mistake
kam se kam ka recharge net wala, कम से कम का रिचार्ज ने वाला,, Similar Sounding Word Predicted
Mere paise aapane khaya hai,,, No mistake
blah blah blah, ब्लॉग ब्लाक ल,, Random Prediction
data balance, डाटा बैलेंस,, No mistake
Mera recharge kab tak khatm hone wala hai, मेरा रिचार्ज कब तक खत्म होने वाला है,, No mistake
Mera translation bataiye, मेरा पास स्टी बताइए,,  Both model prediction and ground truth wrong
bill details, हर अधिक विल डे,, Random Prediction
data balance, डिड द बैलेंस,, Random Prediction
Airtel in5 gr3, एयरटेल इन 5 जियर 3,, Incorrect Single Word Prediction
mean of the flower, मीन ऑफ द फ्लावर,, No mistake
data balance, डाटा ऑफ बैलेंस,, Extra Words Predicted
doctor banners, नोट ऑफ हर मास,,  Both model prediction and ground truth wrong
no, नो,, No mistake
Sony SAB, सोनी स,, Incorrect Single Word Prediction
yes, येस,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
Sony SAB, सोनी स,, Last word verb missing
hello tunes please, हेलो ट्यून पी,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
Dangal TV, तंगल टीवी,, Similar Sounding Word Predicted
Airtel GPRS settings, एयरटेल जीपीआरएस सेटिंग्स,, No mistake
data balance, डाटा बैलेंस,, No mistake
nai alarms, नए एलांस,, Similar Sounding Word Predicted
TV show, टीवी शो,, No mistake
my call, माइ अकाउंट,, Incorrect Single Word Prediction
Plus, स्टार प्लेस,, Similar Sounding Word Predicted
Mujhe Airtel ke naye plans batao, मुझे एयरटेल के नए प्लान्स बताओ,, No mistake
data speed Kaise badhaen, डाटा स्पीड कैसे बढ़ाए,, No mistake
incoming pack kitne ka hota hai dusre number per, इनकमिंग पैक कितने का होता है दूसरे नंबर पर,, No mistake
Mehandi charge tha aur aaj usmein likha raha hai Aspiring Minds Teen Char Din pahle usmein 18 the, में रिचार्ज थाट द वास रेली गार्ड एक्सपर्ट इन वुड नेटिंग टर्म फल मूड हर थीस टी,,  Both model prediction and ground truth wrong
hello, हैलो,, No mistake
main ismein 5 GB ka data Kaise Le sakta hun, मैं इसमें बाट जीवी का डेटा कैसे दे सकता हू,, Incorrect Prediction of repetition of words
doctor banners, नोट ऑफ हर मास,, Random Prediction
plants, प्लान्स,, Wrong Ground Truth
recharge 48, चार्ज 48,, Incorrect Single Word Prediction
I want to know my account balance, आइ वांट दो नो माइ अकाउंट बैलेंस,, Similar Sounding Word Predicted
net banking, नोट बैंकिंग,, Incorrect Single Word Prediction
show me my life insurance certificate, सोम ऑफ माइ लाइफ़ इन जन सेट ऑफ गेट,, Doesnt pick up English
recharge, रिचार्ज,, No mistake
mere paas Kitna net bacha hai, मेरे पास कितना मे बचा है,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
hello tune can be activated directly on the wynk app, हैलो टून कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, No mistake
hello tune can be activated directly on the wynk app, हैलो टून कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Similar Sounding Word Predicted
how to set ringtone, हाउ दो सच इन टोन,, Random Prediction
net pack, नेटबैक,, Similar Sounding Word Predicted
I love you, आइ लव मी,, Doesnt pick up English
DND, बीएमडी,, Doesnt pick up English
free data chahie, फ्री डाटा चाहिए,, No mistake
call history call transaction, कल हिस्ट्री कौल ट्रांसक्शन,, Similar Sounding Word Predicted
mujhe apna password change karna hai, मुझे अपना पासवर्ड चेंज करना है,, Similar Sounding Word Predicted
mujhe apna password change karna hai, मुझे अपना पासवर्ड चेंज करना है,, No mistake
Dhadak full movie in Hindi, द फू मूड बी इन हिन्दी,, Incorrect Single Word Prediction
309 ka Kiya Maine recharge, सी हंडरेड डबल 9 किया मन परिचर्,,  Both model prediction and ground truth wrong
south, साउथ,, No mistake
naye plans, नए प्लान्स,, No mistake
Wi-Fi pack, वाई हाई पैक,, Doesnt pick up English
Dangal TV, दंगाई टीवी,, P instead of B
Dangal TV, दंगाई टीवी,, Incorrect Single Word Prediction
han bhai data packs, हम बाइ डेड द पैक्स,, Random Prediction
Mera Kitna data bacha hai, मेरा कितना डाटा बचा है,, No mistake
Nepalan, नहीं बनान,,  Both model prediction and ground truth wrong
yes, यास,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
DND request, डीएनडी रेग्रेस्ट,, Doesnt pick up English
best recharge plan, लेस रिचार्ज प्लान,, Doesnt pick up English
postpaid to prepaid online, पोस्टपेड दो प्रीपेड ऑन लाइ,, Similar Sounding Word Predicted
Mera data balance kitna hai, मेरा डाटा बैलेंस कितना है,, No mistake
Shantanu Sar pata nahin kahan gaye the, संत सर पता नही कहा गया था,, Random Prediction
2 GB data Kaise milega, जो जीबी डाटा पैसा मिलेगा,, Incorrect Single Word Prediction
plans, प्लान्स,, No mistake
Airtel validity, एयरटेल वैलिडिटी,, No mistake
ringtone video, ऐसा ह,,  Both model prediction and ground truth wrong
account balance, अकाउंट बैलेंस,, No mistake
international call pack, इंटरनेशनल को पैक,, Incorrect Single Word Prediction
thm 8, टीएच एमिट,, Incorrect Single Word Prediction
nai alarms, नए एलांस,, Wrong Ground Truth
Mujhe Airtel ke naye plans batao, मुझे एयरटेल के नए प्लान्स बताओ,, No mistake
mera bill details dikha do, मेरा बिल डिटेल बिता दो,, Incorrect Single Word Prediction
data balance ke bare mein bataiye, डेटा बैलेंस के बारे में बताए,, Incorrect Single Word Prediction
Airtel hello tune, एयरटेल हेलो ट्यून,, Similar Sounding Word Predicted
Mera aaj ka Kitna data bacha Hua Hai, मेरा आज का कितना डाटा बचा हुआ है,, No mistake
Apna recharge kaise karen, अपना रिचार्ज कैसे करें,, No mistake
extra 5gb, एक्स्ट 5 जीबी,, Random Prediction
extra 5gb, एक्स्ट 5 जीबी,, Doesnt pick up English
ringtone Kaise set Karen, रिंग टोन कैसे सेट करें,, No mistake
my extra data, माइ एस्टर डाटा,, Incorrect Prediction of repetition of words
my extra data, माइ एस्टर डाटा,, Incorrect Single Word Prediction
mere mobile Mein Kitna data Baj Gaya Hai, मेरे माइल में कितना डाटा बच गया है,, Similar Sounding Word Predicted
free hello tune, फ़्री हेलो ट्वीन,, No mistake
diet plan, नए प्लान,, Wrong Ground Truth
customer care ka number kya hai, कस्टमर केयर का नंबर क्या है,, No mistake
